method,difficulty,seed,qos_satisfaction_mean,qos_satisfaction_std,qos_detect,qos_track,qos_comm,qos_jam,dwell_detect,dwell_track,dwell_comm,dwell_jam,min_dwell_frac,n_episodes,n_rl_steps_total,n_classical_steps_total,rl_frac,wallclock_s,timestamp
classical,L0,42,0.898244,0.064886,0.999997,0.999879,0.680845,0.912254,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,13.59,2026-07-07 14:29:19
classical,L0,43,0.890060,0.056109,0.999997,0.999879,0.648111,0.912254,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,13.25,2026-07-07 14:29:32
classical,L0,44,0.910519,0.072599,0.999997,0.999879,0.729946,0.912254,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,13.28,2026-07-07 14:29:46
classical,L0,45,0.881877,0.090850,0.999997,0.999879,0.615377,0.912254,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,13.47,2026-07-07 14:29:59
classical,L0,46,0.867556,0.010141,0.999997,0.999879,0.558093,0.912254,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,13.25,2026-07-07 14:30:12
classical,L1,42,0.625167,0.065517,0.999459,0.273915,0.680516,0.546780,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,13.28,2026-07-07 14:30:26
classical,L1,43,0.616991,0.068178,0.999459,0.273915,0.647813,0.546780,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,13.22,2026-07-07 14:30:39
classical,L1,44,0.637441,0.080660,0.999459,0.273915,0.729612,0.546780,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,13.32,2026-07-07 14:30:52
classical,L1,45,0.608815,0.097928,0.999459,0.273915,0.615107,0.546780,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,13.44,2026-07-07 14:31:06
classical,L1,46,0.594499,0.017923,0.999459,0.273915,0.557841,0.546780,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,13.33,2026-07-07 14:31:19
classical,L3,42,0.543643,0.065545,0.998114,0.026475,0.679284,0.470699,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,13.40,2026-07-07 14:31:32
classical,L3,43,0.547008,0.068248,0.998883,0.046222,0.647355,0.495573,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,13.29,2026-07-07 14:31:46
classical,L3,44,0.600907,0.079798,0.999457,0.141545,0.729607,0.533018,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,13.36,2026-07-07 14:31:59
classical,L3,45,0.551395,0.097662,0.999217,0.077899,0.614918,0.513545,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,13.53,2026-07-07 14:32:13
classical,L3,46,0.526778,0.017940,0.998965,0.051292,0.557499,0.499355,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,13.33,2026-07-07 14:32:26
