ep,env,kills_rule,kills_br,winner,exposure_rule,exposure_br,mean_trace_P_rule,mean_trace_P_br
0,0,1,1,-1,4.4790497,2.6464365,0.0,0.0
0,1,1,1,0,4.487409,2.456947,0.0,6.4795203
0,2,1,1,-1,4.487409,2.56175,0.043315165,0.7868559
0,3,1,1,0,4.487409,2.4027884,0.0,6.385191
0,4,1,1,-1,4.487409,2.5615046,0.043184504,0.7868559
0,5,1,1,-1,4.487409,2.561489,0.043152288,0.7868559
0,6,1,1,-1,4.487409,2.5616364,0.04329691,0.7868559
0,7,1,1,-1,4.487409,2.5617583,0.043265272,0.7868559
1,0,1,1,-1,4.487409,2.5617344,0.043271758,0.7868559
1,1,1,1,-1,4.487409,2.5619361,0.04348696,0.7868559
1,2,1,1,-1,4.487409,2.5617976,0.043221824,0.7868559
1,3,1,1,-1,4.487409,2.561434,0.04318274,0.7868559
1,4,1,1,-1,4.487409,2.5618193,0.043262742,0.7868559
1,5,1,1,0,4.487409,2.39391,0.0,6.4740624
1,6,1,1,-1,4.487409,2.5615904,0.043188144,0.7868559
1,7,1,1,-1,4.487409,2.5613635,0.043186724,0.7868559
2,0,2,1,0,4.4647183,2.6274061,0.0,0.0
2,1,1,1,-1,4.487409,2.5616906,0.043264527,0.7868559
2,2,1,1,-1,4.487409,2.5617213,0.043379825,0.7868559
2,3,1,1,0,4.487409,2.4762774,0.0,5.2632084
2,4,1,1,-1,4.487409,2.5614903,0.043255188,0.7868559
2,5,1,1,0,4.5005465,2.363175,0.0,6.2538176
2,6,1,1,-1,4.487409,2.5616212,0.043379568,0.7868559
2,7,1,1,-1,4.487409,2.5615935,0.043414474,0.7868559
3,0,1,1,-1,4.4933805,2.6386874,0.0,0.0
3,1,1,1,0,4.487409,2.4273224,0.0,6.1881065
3,2,1,1,-1,4.487409,2.561642,0.043290094,0.7868559
3,3,1,1,-1,4.502935,2.629723,0.0,0.0
3,4,1,1,-1,4.487409,2.561684,0.043295313,0.7868559
3,5,2,1,0,4.464717,2.5942218,0.0,0.0
3,6,1,1,-1,4.487409,2.5618207,0.04331746,0.7868559
3,7,1,1,-1,4.4909925,2.6405048,0.0,0.0
4,0,1,1,-1,4.487409,2.5618916,0.043397184,0.7868559
4,1,1,1,-1,4.487409,2.5615268,0.043228768,0.7868559
4,2,1,1,-1,4.487409,2.561432,0.043236442,0.7868559
4,3,1,1,-1,4.487409,2.5617976,0.043286763,0.7868559
4,4,1,1,-1,4.4778557,2.6469493,0.0,0.0
4,5,1,1,-1,4.4957695,2.6369715,0.0,0.0
4,6,1,1,0,4.487409,2.5617228,0.0,1.0519437
4,7,1,1,-1,4.487409,2.5631595,0.043335516,0.7868559
5,0,1,1,-1,4.487409,2.5617173,0.043227088,0.7868559
5,1,1,1,-1,4.487409,2.5614264,0.04320076,0.7868559
5,2,1,1,0,4.5005465,2.3526936,0.0,6.5215087
5,3,1,1,-1,4.487409,2.5615354,0.043258004,0.7868559
5,4,1,1,-1,4.487409,2.561533,0.043287024,0.7868559
5,5,1,1,-1,4.487409,2.5618591,0.04335567,0.7868559
5,6,1,1,-1,4.487409,2.5617592,0.043347828,0.7868559
5,7,1,1,-1,4.487409,2.4707062,0.0,0.0
6,0,1,1,-1,4.4921865,2.637552,0.0,0.0
6,1,2,1,0,4.4647183,2.6389241,0.0,0.0
6,2,1,1,-1,4.487409,2.5616841,0.04325862,0.7868559
6,3,1,1,0,4.4957685,2.3848958,0.0,6.4745035
6,4,1,1,-1,4.502935,2.5814095,0.0,0.0
6,5,1,1,-1,4.487409,2.5617228,0.04326432,0.7868559
6,6,1,1,-1,4.487409,2.5615754,0.04322315,0.7868559
6,7,1,1,0,4.487409,2.4214087,0.0,5.928658
7,0,1,1,-1,4.487409,2.5616343,0.043189846,0.7868559
7,1,1,1,1,4.487409,2.5618184,0.040097993,0.0
7,2,2,1,0,4.4647183,2.63298,0.0,0.0
7,3,2,1,0,4.4647183,2.6433375,0.0,0.0
7,4,1,1,-1,4.487409,2.561564,0.04331654,0.7868559
7,5,1,1,-1,4.487409,2.5614748,0.04318274,0.7868559
7,6,1,1,-1,4.502935,2.6033783,0.0,0.0
7,7,1,1,-1,4.487409,2.5614886,0.04305491,0.7868559
8,0,2,1,0,4.4647183,2.6122208,0.0,0.0
8,1,1,1,-1,4.487409,2.5632195,0.043489877,0.7868559
8,2,1,1,-1,4.487409,2.5616715,0.043463048,0.7868559
8,3,1,1,-1,4.487409,2.5612037,0.04313805,0.7868559
8,4,1,1,-1,4.482633,2.6446078,0.0,0.0
8,5,1,1,-1,4.487409,2.56152,0.043336447,0.7868559
8,6,1,1,-1,4.487409,2.5616798,0.043357357,0.7868559
8,7,1,1,-1,4.487409,2.5618415,0.043258805,0.7868559
9,0,1,1,0,4.4957685,2.3948538,0.0,6.193377
9,1,1,1,1,4.471881,2.568209,0.018283064,0.0
9,2,1,1,-1,4.487409,2.5615146,0.043210424,0.7868559
9,3,1,1,-1,4.487409,2.5613449,0.043175697,0.7868559
9,4,1,1,0,4.487409,2.4125988,0.0,6.2881722
9,5,1,1,-1,4.487409,2.561631,0.043187775,0.7868559
9,6,1,1,-1,4.487409,2.5616539,0.043194924,0.7868559
9,7,1,1,0,4.492186,2.4018385,0.0,6.4936266
10,0,1,1,-1,4.487409,2.5617042,0.043296017,0.7868559
10,1,1,1,-1,4.487409,2.561628,0.043351136,0.7868559
10,2,2,1,0,4.4647183,2.6063962,0.0,0.0
10,3,1,1,-1,4.487409,2.56175,0.043166064,0.7868559
10,4,1,1,0,4.487409,2.403519,0.0,6.415459
10,5,1,1,-1,4.487409,2.5616689,0.04322874,0.7868559
10,6,1,1,-1,4.487409,2.5617661,0.043399744,0.7868559
10,7,1,1,-1,4.487409,2.4100842,0.0,0.0
11,0,1,1,-1,4.487409,2.561822,0.04332032,0.7868559
11,1,1,1,-1,4.487409,2.5616846,0.043385874,0.7868559
11,2,1,1,-1,4.487409,2.5618002,0.043402042,0.7868559
11,3,1,1,-1,4.487409,2.5616038,0.04317603,0.7868559
