ep,env,kills_t0,kills_t1,winner,exposure_t0,mean_trace_P_t0,mean_trace_P_t1
0,0,0,0,-1,4.4943423,0.035477925,0.035477925
0,1,0,0,-1,4.493939,0.5609219,0.5609219
0,2,0,0,-1,4.493939,0.5609219,0.5609219
0,3,0,0,-1,4.493939,0.5609219,0.5609219
0,4,0,0,-1,4.493939,0.5609219,0.5609219
0,5,0,0,-1,4.493939,0.5609219,0.5609219
0,6,0,0,-1,4.493939,0.5609219,0.5609219
0,7,0,0,-1,4.493939,0.5609219,0.5609219
1,0,0,0,-1,4.493939,0.061550613,0.061550613
1,1,0,0,-1,4.493939,0.5609219,0.5609219
1,2,0,0,-1,4.493939,0.5609219,0.5609219
1,3,0,0,-1,4.493939,0.5609219,0.5609219
1,4,0,0,-1,4.4943423,0.03547793,0.03547793
1,5,0,0,-1,4.493939,0.5609219,0.5609219
1,6,0,0,-1,4.494595,0.061550613,0.061550613
1,7,0,0,-1,4.496766,0.0,0.0
2,0,0,0,-1,4.493939,0.5609219,0.5609219
2,1,0,0,-1,4.493939,0.5609219,0.5609219
2,2,0,0,-1,4.493939,0.061550613,0.061550613
2,3,0,0,-1,4.493939,0.5609219,0.5609219
2,4,0,0,-1,4.493939,0.5609219,0.5609219
2,5,0,0,-1,4.493939,0.061550613,0.061550613
2,6,0,0,-1,4.493939,0.5609219,0.5609219
2,7,0,0,-1,4.493939,0.5609219,0.5609219
3,0,0,0,-1,4.493939,0.5609219,0.5609219
3,1,0,0,-1,4.493939,0.061550613,0.061550613
3,2,0,0,-1,4.493939,0.5609219,0.5609219
3,3,0,0,-1,4.493939,0.5609219,0.5609219
3,4,0,0,-1,4.493939,0.5609219,0.5609219
3,5,0,0,-1,4.493939,0.5609219,0.5609219
3,6,0,0,-1,4.493939,0.5609219,0.5609219
3,7,0,0,-1,4.494595,0.061550613,0.061550613
4,0,0,0,-1,4.493939,0.5609219,0.5609219
4,1,0,0,-1,4.493939,0.5609219,0.5609219
4,2,0,0,-1,4.493939,0.061550613,0.061550613
4,3,0,0,-1,4.493939,0.5609219,0.5609219
4,4,0,0,-1,4.493939,0.061550613,0.061550613
4,5,0,0,-1,4.493939,0.5609219,0.5609219
4,6,0,0,-1,4.493939,0.5609219,0.5609219
4,7,0,0,-1,4.493939,0.5609219,0.5609219
5,0,0,0,-1,4.493939,0.5609219,0.5609219
5,1,0,0,-1,4.502667,0.0,0.0
5,2,0,0,-1,4.493939,0.5609219,0.5609219
5,3,0,0,-1,4.493939,0.5609219,0.5609219
5,4,0,0,-1,4.494595,0.061550613,0.061550613
5,5,0,0,-1,4.493939,0.061550613,0.061550613
5,6,0,0,-1,4.494595,0.061550613,0.061550613
5,7,0,0,-1,4.493939,0.5609219,0.5609219
6,0,0,0,-1,4.493939,0.5609219,0.5609219
6,1,0,0,-1,4.493939,0.5609219,0.5609219
6,2,0,0,-1,4.493939,0.061550613,0.061550613
6,3,0,0,-1,4.493939,0.061550613,0.061550613
6,4,0,0,-1,4.493939,0.5609219,0.5609219
6,5,0,0,-1,4.493939,0.5609219,0.5609219
6,6,0,0,-1,4.493939,0.061550613,0.061550613
6,7,0,0,-1,4.493939,0.5609219,0.5609219
7,0,0,0,-1,4.493939,0.061550613,0.061550613
7,1,0,0,-1,4.493939,0.5609219,0.5609219
7,2,0,0,-1,4.4943423,0.035477925,0.035477925
7,3,0,0,-1,4.493939,0.5609219,0.5609219
7,4,0,0,-1,4.493939,0.061550613,0.061550613
7,5,0,0,-1,4.493939,0.5609219,0.5609219
7,6,0,0,-1,4.493939,0.5609219,0.5609219
7,7,0,0,-1,4.493939,0.5609219,0.5609219
8,0,0,0,-1,4.493939,0.5609219,0.5609219
8,1,0,0,-1,4.493939,0.061550613,0.061550613
8,2,0,0,-1,4.493939,0.5609219,0.5609219
8,3,0,0,-1,4.493939,0.5609219,0.5609219
8,4,0,0,-1,4.493939,0.061550613,0.061550613
8,5,0,0,-1,4.493939,0.061550613,0.061550613
8,6,0,0,-1,4.493939,0.5609219,0.5609219
8,7,0,0,-1,4.493939,0.5609219,0.5609219
9,0,0,0,-1,4.493939,0.5609219,0.5609219
9,1,0,0,-1,4.493939,0.5609219,0.5609219
9,2,0,0,-1,4.493939,0.061550613,0.061550613
9,3,0,0,-1,4.493939,0.5609219,0.5609219
9,4,0,0,-1,4.493939,0.5609219,0.5609219
9,5,0,0,-1,4.493939,0.5609219,0.5609219
9,6,0,0,-1,4.493939,0.061550613,0.061550613
9,7,0,0,-1,4.493939,0.5609219,0.5609219
10,0,0,0,-1,4.493939,0.5609219,0.5609219
10,1,0,0,-1,4.493939,0.5609219,0.5609219
10,2,0,0,-1,4.493939,0.061550613,0.061550613
10,3,0,0,-1,4.493939,0.5609219,0.5609219
10,4,0,0,-1,4.493939,0.5609219,0.5609219
10,5,0,0,-1,4.493939,0.5609219,0.5609219
10,6,0,0,-1,4.493939,0.5609219,0.5609219
10,7,0,0,-1,4.493939,0.061550613,0.061550613
11,0,0,0,-1,4.493939,0.5609219,0.5609219
11,1,0,0,-1,4.493939,0.5609219,0.5609219
11,2,0,0,-1,4.493939,0.06155139,0.06155139
11,3,0,0,-1,4.493939,0.5609219,0.5609219
11,4,0,0,-1,4.493939,0.5609219,0.5609219
11,5,0,0,-1,4.493939,0.061550613,0.061550613
11,6,0,0,-1,4.493939,0.5609219,0.5609219
11,7,0,0,-1,4.493939,0.5609219,0.5609219
12,0,0,0,-1,4.493939,0.5609219,0.5609219
12,1,0,0,-1,4.493939,0.06155139,0.06155139
12,2,0,0,-1,4.493939,0.061550613,0.061550613
12,3,0,0,-1,4.493939,0.5609219,0.5609219
12,4,0,0,-1,4.493939,0.5609219,0.5609219
12,5,0,0,-1,4.493939,0.5609219,0.5609219
12,6,0,0,-1,4.493939,0.061550613,0.061550613
12,7,0,0,-1,4.493939,0.5609219,0.5609219
13,0,0,0,-1,4.493939,0.061550613,0.061550613
13,1,0,0,-1,4.4962106,0.0,0.0
13,2,0,0,-1,4.493939,0.061550613,0.061550613
13,3,0,0,-1,4.493939,0.5609219,0.5609219
13,4,0,0,-1,4.494595,0.061550613,0.061550613
13,5,0,0,-1,4.493939,0.5609219,0.5609219
13,6,0,0,-1,4.4945955,0.064209275,0.064209275
13,7,0,0,-1,4.493939,0.06505626,0.06505626
14,0,0,0,-1,4.493939,0.5609219,0.5609219
14,1,0,0,-1,4.493939,0.5609219,0.5609219
14,2,0,0,-1,4.4959583,0.0,0.0
14,3,0,0,-1,4.493939,0.5609219,0.5609219
14,4,0,0,-1,4.493939,0.061550613,0.061550613
14,5,0,0,-1,4.493939,0.5609219,0.5609219
14,6,0,0,-1,4.493939,0.5609219,0.5609219
14,7,0,0,-1,4.493939,0.5609219,0.5609219
15,0,0,0,-1,4.494595,0.061553065,0.061553065
15,1,0,0,-1,4.493939,0.5609219,0.5609219
15,2,0,0,-1,4.493939,0.5609219,0.5609219
15,3,0,0,-1,4.493939,0.061550613,0.061550613
15,4,0,0,-1,4.493939,0.5609219,0.5609219
15,5,0,0,-1,4.493939,0.5609219,0.5609219
15,6,0,0,-1,4.493939,0.5609219,0.5609219
15,7,0,0,-1,4.493939,0.5609219,0.5609219
16,0,0,0,-1,4.493939,0.5609219,0.5609219
16,1,0,0,-1,4.493939,0.5609219,0.5609219
16,2,0,0,-1,4.493939,0.5609219,0.5609219
16,3,0,0,-1,4.493939,0.5609219,0.5609219
16,4,0,0,-1,4.493939,0.061550613,0.061550613
16,5,0,0,-1,4.493939,0.061550613,0.061550613
16,6,0,0,-1,4.493939,0.5609219,0.5609219
16,7,0,0,-1,4.499994,0.0,0.0
17,0,0,0,-1,4.493939,0.061550613,0.061550613
17,1,0,0,-1,4.493939,0.061550613,0.061550613
17,2,0,0,-1,4.493939,0.5609219,0.5609219
17,3,0,0,-1,4.493939,0.5609219,0.5609219
17,4,0,0,-1,4.496362,0.0,0.0
17,5,0,0,-1,4.493939,0.5609219,0.5609219
17,6,0,0,-1,4.493939,0.5609219,0.5609219
17,7,0,0,-1,4.494595,0.061550613,0.061550613
18,0,0,0,-1,4.493939,0.5609219,0.5609219
18,1,0,0,-1,4.493939,0.5609219,0.5609219
18,2,0,0,-1,4.493939,0.5609219,0.5609219
18,3,0,0,-1,4.493939,0.5609219,0.5609219
18,4,0,0,-1,4.493939,0.061550613,0.061550613
18,5,0,0,-1,4.493939,0.5609219,0.5609219
18,6,0,0,-1,4.493939,0.5609219,0.5609219
18,7,0,0,-1,4.493939,0.5609219,0.5609219
19,0,0,0,-1,4.493939,0.5609219,0.5609219
19,1,0,0,-1,4.493939,0.5609219,0.5609219
19,2,0,0,-1,4.493939,0.061550613,0.061550613
19,3,0,0,-1,4.494595,0.061550613,0.061550613
19,4,0,0,-1,4.493939,0.5609219,0.5609219
19,5,0,0,-1,4.493939,0.5609219,0.5609219
19,6,0,0,-1,4.493939,0.061550613,0.061550613
19,7,0,0,-1,4.493939,0.5609219,0.5609219
20,0,0,0,-1,4.493939,0.5609219,0.5609219
20,1,0,0,-1,4.493939,0.5609219,0.5609219
20,2,0,0,-1,4.50186,0.0,0.0
20,3,0,0,-1,4.493939,0.5609219,0.5609219
20,4,0,0,-1,4.493939,0.061550613,0.061550613
20,5,0,0,-1,4.493939,0.061550613,0.061550613
20,6,0,0,-1,4.493939,0.5609219,0.5609219
20,7,0,0,-1,4.493939,0.5609219,0.5609219
21,0,0,0,-1,4.493939,0.5609219,0.5609219
21,1,0,0,-1,4.493939,0.5609219,0.5609219
21,2,0,0,-1,4.493939,0.5609219,0.5609219
21,3,0,0,-1,4.493939,0.5609219,0.5609219
21,4,0,0,-1,4.493939,0.5609219,0.5609219
21,5,0,0,-1,4.493939,0.5609219,0.5609219
21,6,0,0,-1,4.4943423,0.035477925,0.035477925
21,7,0,0,-1,4.493939,0.061550613,0.061550613
22,0,0,0,-1,4.493939,0.5609219,0.5609219
22,1,0,0,-1,4.493939,0.5609219,0.5609219
22,2,0,0,-1,4.493939,0.061550613,0.061550613
22,3,0,0,-1,4.496766,0.0,0.0
22,4,0,0,-1,4.493939,0.061550613,0.061550613
22,5,0,0,-1,4.49838,0.0,0.0
22,6,0,0,-1,4.493939,0.061550613,0.061550613
22,7,0,0,-1,4.493939,0.5609219,0.5609219
23,0,0,0,-1,4.5004992,0.0,0.0
23,1,0,0,-1,4.493939,0.5609219,0.5609219
23,2,0,0,-1,4.493939,0.5609219,0.5609219
23,3,0,0,-1,4.493939,0.5609219,0.5609219
23,4,0,0,-1,4.493939,0.5609219,0.5609219
23,5,0,0,-1,4.493939,0.5609219,0.5609219
23,6,0,0,-1,4.493939,0.5609219,0.5609219
23,7,0,0,-1,4.493939,0.5609219,0.5609219
24,0,0,0,-1,4.493939,0.5609219,0.5609219
24,1,0,0,-1,4.493939,0.06205824,0.06205824
24,2,0,0,-1,4.493939,0.5609219,0.5609219
24,3,0,0,-1,4.493939,0.5609219,0.5609219
24,4,0,0,-1,4.493939,0.5609219,0.5609219
24,5,0,0,-1,4.493939,0.5609219,0.5609219
24,6,0,0,-1,4.493939,0.5609219,0.5609219
24,7,0,0,-1,4.4943423,0.035477925,0.035477925
25,0,0,0,-1,4.493939,0.5609219,0.5609219
25,1,0,0,-1,4.493939,0.5609219,0.5609219
25,2,0,0,-1,4.493939,0.5609219,0.5609219
25,3,0,0,-1,4.493939,0.5609219,0.5609219
25,4,0,0,-1,4.493939,0.5609219,0.5609219
25,5,0,0,-1,4.493939,0.5609219,0.5609219
25,6,0,0,-1,4.493939,0.061550613,0.061550613
25,7,0,0,-1,4.494343,0.039272778,0.039272778
26,0,0,0,-1,4.493939,0.5609219,0.5609219
26,1,0,0,-1,4.493939,0.061550613,0.061550613
26,2,0,0,-1,4.4943423,0.03547792,0.03547792
26,3,0,0,-1,4.493939,0.5609219,0.5609219
26,4,0,0,-1,4.493939,0.5609219,0.5609219
26,5,0,0,-1,4.493939,0.061550613,0.061550613
26,6,0,0,-1,4.493939,0.5609219,0.5609219
26,7,0,0,-1,4.493939,0.5609219,0.5609219
27,0,0,0,-1,4.493939,0.061550613,0.061550613
27,1,0,0,-1,4.493939,0.061550613,0.061550613
27,2,0,0,-1,4.493939,0.5609219,0.5609219
27,3,0,0,-1,4.493939,0.5609219,0.5609219
27,4,0,0,-1,4.493939,0.5609219,0.5609219
27,5,0,0,-1,4.493939,0.5609219,0.5609219
27,6,0,0,-1,4.493939,0.5609219,0.5609219
27,7,0,0,-1,4.493939,0.061550613,0.061550613
28,0,0,0,-1,4.493939,0.5609219,0.5609219
28,1,0,0,-1,4.493939,0.5609219,0.5609219
28,2,0,0,-1,4.493939,0.5609219,0.5609219
28,3,0,0,-1,4.493939,0.061550613,0.061550613
28,4,0,0,-1,4.4943423,0.035477925,0.035477925
28,5,0,0,-1,4.493939,0.5609219,0.5609219
28,6,0,0,-1,4.493939,0.5609219,0.5609219
28,7,0,0,-1,4.493939,0.064273216,0.064273216
29,0,0,0,-1,4.493939,0.5609219,0.5609219
29,1,0,0,-1,4.493939,0.5609219,0.5609219
29,2,0,0,-1,4.4943423,0.035477925,0.035477925
29,3,0,0,-1,4.494595,0.061553065,0.061553065
29,4,0,0,-1,4.493939,0.5609219,0.5609219
29,5,0,0,-1,4.4943423,0.035477925,0.035477925
29,6,0,0,-1,4.493939,0.5609219,0.5609219
29,7,0,0,-1,4.493939,0.5609219,0.5609219
