jam,duty,channel,p_fa,kill_rate_mean,kill_rate_std,trace_P_mean,search_cov_mean,track_active_mean,n_samples
0.0,0.2,orthogonal,0.001,1.0,0.0,232.5076904296875,0.5109127163887024,0.20527777777777778,24
0.0,0.2,same,0.001,0.5416666666666666,0.4982608642958916,51.28731918334961,0.97817462682724,0.07847222222222222,24
0.0,0.4,orthogonal,0.001,1.0,0.0,180.89833068847656,0.5138888955116272,0.2077777777777778,24
0.0,0.4,same,0.001,0.3333333333333333,0.4714045207910317,15.70150375366211,1.0,0.04638888888888889,24
0.0,0.6,orthogonal,1e-06,0.9583333333333334,0.19982631347136331,166.8582000732422,0.4920635223388672,0.20944444444444443,24
0.0,0.6,same,1e-06,0.25,0.4330127018922193,9.364852905273438,1.0,0.04611111111111111,24
0.0,0.8,orthogonal,1e-06,0.875,0.33071891388307384,225.92779541015625,0.538194477558136,0.19347222222222224,24
0.0,0.8,same,1e-06,0.0,0.0,9.936184883117676,1.0,0.02972222222222222,24
0.2,0.2,orthogonal,0.001,1.0,0.0,267.4600830078125,0.4935516119003296,0.20972222222222223,24
0.2,0.2,same,0.001,0.3333333333333333,0.4714045207910317,13.840484619140625,1.0,0.04777777777777778,24
0.2,0.4,orthogonal,0.001,1.0,0.0,227.5133056640625,0.492559552192688,0.2125,24
0.2,0.4,same,0.001,0.25,0.4330127018922193,6.927903652191162,1.0,0.034444444444444444,24
0.2,0.6,orthogonal,1e-06,0.9583333333333334,0.19982631347136331,242.91517639160156,0.4890873432159424,0.20055555555555557,24
0.2,0.6,same,1e-06,0.2916666666666667,0.45452967144315476,125.6290283203125,0.97817462682724,0.04666666666666667,24
0.2,0.8,orthogonal,1e-06,0.9583333333333334,0.19982631347136331,149.21188354492188,0.4910714626312256,0.21125000000000002,24
0.2,0.8,same,1e-06,0.0,0.0,7.667531490325928,1.0,0.015416666666666667,24
0.4,0.2,orthogonal,0.001,1.0,0.0,269.4449768066406,0.490079402923584,0.21097222222222223,24
0.4,0.2,same,0.001,0.375,0.4841229182759271,214.62620544433594,0.9563491940498352,0.05291666666666667,24
0.4,0.4,orthogonal,0.001,0.9166666666666666,0.2763853991962833,195.0520477294922,0.5109127163887024,0.2036111111111111,24
0.4,0.4,same,0.001,0.16666666666666666,0.372677996249965,12.293060302734375,1.0,0.024166666666666666,24
0.4,0.6,orthogonal,0.001,0.9583333333333334,0.19982631347136331,155.275390625,0.555059552192688,0.2026388888888889,24
0.4,0.6,same,0.001,0.08333333333333333,0.2763853991962833,7.548625469207764,1.0,0.025555555555555554,24
0.4,0.8,orthogonal,0.001,1.0,0.0,221.2550811767578,0.4940476417541504,0.21083333333333332,24
0.4,0.8,same,0.001,0.0,0.0,9.685025215148926,1.0,0.019444444444444448,24
0.6,0.2,orthogonal,0.001,1.0,0.0,221.41221618652344,0.4955357313156128,0.21472222222222223,24
0.6,0.2,same,0.001,0.375,0.4841229182759271,10.79483699798584,1.0,0.05194444444444445,24
0.6,0.4,orthogonal,0.001,1.0,0.0,178.7818145751953,0.5128968358039856,0.21208333333333332,24
0.6,0.4,same,0.001,0.20833333333333334,0.4061164310337068,12.681918144226074,1.0,0.037222222222222226,24
0.6,0.6,orthogonal,0.001,0.9583333333333334,0.19982631347136331,166.8799591064453,0.5347222685813904,0.2011111111111111,24
0.6,0.6,same,0.001,0.20833333333333334,0.4061164310337068,8.926827430725098,1.0,0.02916666666666667,24
0.6,0.8,orthogonal,0.001,0.9583333333333334,0.19982631347136331,167.78392028808594,0.511904776096344,0.20472222222222222,24
0.6,0.8,same,0.001,0.0,0.0,11.068065643310547,1.0,0.019166666666666665,24
