cell,method,seed,kill_count,survival_rate,n_actual
n4_L0,strong_classical,42,4.000,0.875,4.0
n4_L0,strong_classical,43,4.000,0.750,4.0
n4_L0,strong_classical,44,4.000,0.875,4.0
n4_L0,strong_classical,45,4.000,1.000,4.0
n4_L0,strong_classical,46,3.875,0.750,4.0
n4_L0,mappo,42,4.000,1.000,4.0
n4_L0,mappo,43,4.000,1.000,4.0
n4_L0,mappo,44,4.000,1.000,4.0
n4_L0,mappo,45,4.000,1.000,4.0
n4_L0,mappo,46,4.000,0.750,4.0
n4_L0,ippo,42,4.000,1.000,4.0
n4_L0,ippo,43,4.000,0.875,4.0
n4_L0,ippo,44,4.000,1.000,4.0
n4_L0,ippo,45,4.000,1.000,4.0
n4_L0,ippo,46,4.000,0.625,4.0
n4_L1-tau1,strong_classical,42,3.625,0.250,4.0
n4_L1-tau1,strong_classical,43,3.625,0.250,4.0
n4_L1-tau1,strong_classical,44,3.625,0.625,4.0
n4_L1-tau1,strong_classical,45,3.750,0.375,4.0
n4_L1-tau1,strong_classical,46,3.500,0.500,4.0
n4_L1-tau1,mappo,42,3.625,0.375,4.0
n4_L1-tau1,mappo,43,4.000,0.875,4.0
n4_L1-tau1,mappo,44,3.750,0.625,4.0
n4_L1-tau1,mappo,45,3.375,0.750,4.0
n4_L1-tau1,mappo,46,3.625,0.500,4.0
n4_L1-tau1,ippo,42,4.000,1.000,4.0
n4_L1-tau1,ippo,43,3.750,0.375,4.0
n4_L1-tau1,ippo,44,4.000,1.000,4.0
n4_L1-tau1,ippo,45,4.000,0.875,4.0
n4_L1-tau1,ippo,46,3.500,0.625,4.0
n4_L3-trained,strong_classical,42,3.500,0.250,4.0
n4_L3-trained,strong_classical,43,3.625,0.250,4.0
n4_L3-trained,strong_classical,44,3.625,0.625,4.0
n4_L3-trained,strong_classical,45,3.625,0.375,4.0
n4_L3-trained,strong_classical,46,3.500,0.500,4.0
n4_L3-trained,mappo,42,3.500,0.500,4.0
n4_L3-trained,mappo,43,3.500,0.625,4.0
n4_L3-trained,mappo,44,3.625,0.625,4.0
n4_L3-trained,mappo,45,3.750,0.875,4.0
n4_L3-trained,mappo,46,3.500,0.625,4.0
n4_L3-trained,ippo,42,4.000,0.875,4.0
n4_L3-trained,ippo,43,4.000,1.000,4.0
n4_L3-trained,ippo,44,3.875,0.625,4.0
n4_L3-trained,ippo,45,3.875,0.625,4.0
n4_L3-trained,ippo,46,3.750,0.750,4.0
n8_L0,strong_classical,42,8.000,0.875,8.0
n8_L0,strong_classical,43,8.000,0.750,8.0
n8_L0,strong_classical,44,8.000,0.875,8.0
n8_L0,strong_classical,45,8.000,0.875,8.0
n8_L0,strong_classical,46,8.000,0.625,8.0
n8_L0,mappo,42,5.125,0.500,8.0
n8_L0,mappo,43,5.875,0.500,8.0
n8_L0,mappo,44,5.750,0.625,8.0
n8_L0,mappo,45,5.625,0.500,8.0
n8_L0,mappo,46,4.875,0.500,8.0
n8_L0,ippo,42,4.625,0.500,8.0
n8_L0,ippo,43,4.750,0.625,8.0
n8_L0,ippo,44,4.875,0.750,8.0
n8_L0,ippo,45,4.250,0.750,8.0
n8_L0,ippo,46,4.750,0.500,8.0
