[gpu] Using device: cuda
[gpu] GPU: NVIDIA RTX PRO 6000 Blackwell Workstation Edition
[gpu] VRAM: 101.9 GB

=== Phase 0: curriculum jammer=L0 for 80 iters ===
  [L0] it=   0 rew=+0.00 kill=15.0 trackloss=0.474 v_loss=3.151 H=6.202 kl=0.0206
  [L0] it=  10 rew=+0.00 kill=26.0 trackloss=0.465 v_loss=2.828 H=6.065 kl=0.0171
  [L0] it=  20 rew=+0.00 kill=42.0 trackloss=0.451 v_loss=3.309 H=5.995 kl=0.0169
  [L0] it=  30 rew=+9.51 kill=60.0 trackloss=0.308 v_loss=3.508 H=5.872 kl=0.0146
  [L0] it=  40 rew=+0.02 kill=78.0 trackloss=0.158 v_loss=1.914 H=5.674 kl=0.0125
  [L0] it=  50 rew=+22.01 kill=107.0 trackloss=0.267 v_loss=2.324 H=5.489 kl=0.0145
  [L0] it=  60 rew=+31.83 kill=63.0 trackloss=0.146 v_loss=0.598 H=5.704 kl=0.0142
  [L0] it=  70 rew=-0.04 kill=135.0 trackloss=0.173 v_loss=1.011 H=5.135 kl=0.0099
  saved /home/ubuntu/CODE/FluxPhased-/checkpoints/taes_mainline/taes_rl_phase0_L0.pt

=== Phase 1: curriculum jammer=L1 for 150 iters ===
  [L1] it=   0 rew=+0.00 kill=34.0 trackloss=0.730 v_loss=7.835 H=4.445 kl=0.0431
  [L1] it=  10 rew=+31.87 kill=123.0 trackloss=0.372 v_loss=3.835 H=5.259 kl=0.0124
  [L1] it=  20 rew=+17.85 kill=140.0 trackloss=0.372 v_loss=2.650 H=5.097 kl=0.0122
  [L1] it=  30 rew=+29.75 kill=61.0 trackloss=0.236 v_loss=1.040 H=5.514 kl=0.0148
  [L1] it=  40 rew=+35.46 kill=128.0 trackloss=0.340 v_loss=1.993 H=5.070 kl=0.0162
  [L1] it=  50 rew=+9.89 kill=101.0 trackloss=0.341 v_loss=0.208 H=5.204 kl=0.0150
  [L1] it=  60 rew=+24.11 kill=135.0 trackloss=0.311 v_loss=5.066 H=5.154 kl=0.0159
  [L1] it=  70 rew=+26.01 kill=125.0 trackloss=0.303 v_loss=1.095 H=5.170 kl=0.0163
  [L1] it=  80 rew=+28.03 kill=130.0 trackloss=0.371 v_loss=2.268 H=5.159 kl=0.0128
  [L1] it=  90 rew=+34.25 kill=128.0 trackloss=0.341 v_loss=0.980 H=5.234 kl=0.0129
  [L1] it= 100 rew=+28.55 kill=136.0 trackloss=0.333 v_loss=3.108 H=5.214 kl=0.0155
  [L1] it= 110 rew=+0.01 kill=133.0 trackloss=0.340 v_loss=2.505 H=5.196 kl=0.0165
  [L1] it= 120 rew=+25.36 kill=169.0 trackloss=0.333 v_loss=2.522 H=4.968 kl=0.0179
  [L1] it= 130 rew=+34.89 kill=146.0 trackloss=0.394 v_loss=3.912 H=5.053 kl=0.0162
  [L1] it= 140 rew=+34.80 kill=140.0 trackloss=0.345 v_loss=2.930 H=5.098 kl=0.0132
  saved /home/ubuntu/CODE/FluxPhased-/checkpoints/taes_mainline/taes_rl_phase1_L1.pt

=== Phase 2: curriculum jammer=L3 for 150 iters ===
  [L3] it=   0 rew=+0.00 kill=2.0 trackloss=0.984 v_loss=38.847 H=4.935 kl=0.0235
  [L3] it=  10 rew=+0.00 kill=5.0 trackloss=0.972 v_loss=3.587 H=5.219 kl=0.0188
  [L3] it=  20 rew=+0.00 kill=2.0 trackloss=0.975 v_loss=4.084 H=5.539 kl=0.0187
  [L3] it=  30 rew=+0.00 kill=1.0 trackloss=0.974 v_loss=1.966 H=5.818 kl=0.0164
  [L3] it=  40 rew=+0.00 kill=0.0 trackloss=0.980 v_loss=1.185 H=5.888 kl=0.0163
  [L3] it=  50 rew=+0.00 kill=0.0 trackloss=0.978 v_loss=1.982 H=5.964 kl=0.0166
  [L3] it=  60 rew=+0.00 kill=0.0 trackloss=0.982 v_loss=1.946 H=5.966 kl=0.0157
  [L3] it=  70 rew=+0.00 kill=0.0 trackloss=0.973 v_loss=4.689 H=6.014 kl=0.0155
  [L3] it=  80 rew=+0.00 kill=0.0 trackloss=0.969 v_loss=2.702 H=6.020 kl=0.0114
  [L3] it=  90 rew=+0.00 kill=0.0 trackloss=0.975 v_loss=2.742 H=6.042 kl=0.0135
  [L3] it= 100 rew=+0.00 kill=0.0 trackloss=0.971 v_loss=2.340 H=6.026 kl=0.0122
